german,english,forms,lemma_forms
Hat,Has,hat,haben
Jahren,years,Jahren,Jahr
Kind,child,Kind,Kind
seinen,his,seinen,sein
Genau,Exactly,genau,genau
daran,to it,daran,daran
Junge,Young,Junge,Junge
Minuten,minutes,Minuten,Minute
bevor,before,bevor,bevor
Stadt,city,Stadt,Stadt
beim,at the,beim,bei
sterben,die,sterben,sterben
warst,were,warst,sein
Recht,Law,Recht,Recht
glauben,believe,glauben,glauben
Warte,Wait,warte,warten
darüber,about that,darüber,darüber
deiner,yours,deiner,dein
deinem,your,deinem,dein
Ende,end,Ende,Ende
He,He,he,he
Dinge,things,Dinge,Ding
Namen,names,Namen,Namen
wahr,true,wahr,wahr
Alle,All,alle,alle
allein,alone,allein,allein
Natürlich,Naturally,natürlich,natürlich
töten,kill,töten,töten
Nichts,nothing,nichts,nichts
Wirklich,For real,wirklich,wirklich
bekommen,receive,bekommen,bekommen
Männer,men,Männer,Mann
vergessen,forget,vergessen,vergessen
Doch,Indeed,doch,doch
dazu,to,dazu,dazu
gab,gave,gab,geben
später,later,später,spät
wusste,knew,wusste,wissen
Augen,eyes,Augen,Auge
Dank,thanks to,Dank,Dank
Freunde,friends,Freunde,Freund
Jungs,guys,Jungs,Junge
halten,keep,halten,halten
warten,wait,warten,warten
Glück,happiness,Glück,Glück
beide,both,beide,beide
gute,quality,gute,gut
Dein,Your,dein,dein
kennen,know,kennen,kennen
Deine,Yours,deine,dein
n,n,n,n ein
Hi,Hi,hi,hi
Dr,Dr,Dr,Dr.
Auto,automobile,Auto,Auto
sage,legend,sage,sagen
gehe,go,gehe,gehen
komme,get,komme,kommen
Dir,To you,dir,dir
mache,make,mache,machen
Von,from,von,von
Uhr,clock,Uhr,Uhr
sehe,see,sehe,sehen
Teufel,Devil,Teufel,Teufel
sonst,otherwise,sonst,sonst
Art,kind,Art,Art
gern,gladly,gern,gern
Liebe,love,Liebe,Liebe
jeden,every,jeden,jeder
könnten,could,könnten,können
ihren,their,ihren,ihr
Halt,Stop,halt Halt,halten Halt
Fall,case,fall Fall,fallen Fall
Dad,Dad,Dad,Dad
Film,Movie,Film,Film
bisschen,little,bisschen,bisschen
eigentlich,actually,eigentlich,eigentlich
weit,far,weit,weit
mach,mach,mach,machen
Gib,Give,gib,geben
vorbei,past,vorbei,vorbei
verstehe,understand,verstehe,verstehen
danke,thanks,danke,danke
drin,in it,drin,drin
Im,in the,im,in
Name,Surname,Name,Name
ganzen,entire,ganzen,ganz
Musik,music,Musik,Musik
würden,would,würden,werden
Tür,door,Tür,Tür
verrückt,crazy,verrückt,verrückt
solltest,should,solltest,sollen
denken,think,denken,denken
Noch,Yet,noch,noch
dran,your turn,dran,dran
Sieh,Look,sieh,sehen
lieber,rather,lieber,lieb
Den,The,den,der
leben,Life,leben,leben
Guten,good,guten,gut
Um,Around,um,um
darauf,thereon,darauf,darauf
Kein,No,kein,kein
stimmt,Right,stimmt,stimmen
Kerl,Guy,Kerl,Kerl
letzte,last,letzte,letzter
Job,job,Job,Job
verloren,lost,verloren,verlieren
wurden,became,wurden,werden
kenne,know,kenne,kennen
Ahnung,idea,Ahnung,Ahnung
seiner,his,seiner,sein
Grund,reason,Grund,Grund
toll,Great,toll,toll
Bis,To,bis,bis
Verdammt,Damned,verdammt,verdammen
bald,soon,bald,bald
bereit,ready,bereit,bereit
all,Alles,all,all
jemanden,someone,jemanden,jemand
hinter,Behind,hinter,hinter
Schon,Nice,schon,schon
Sehr,very,sehr,sehr
Hand,hand,Hand,Hand
darf,allowed,darf,dürfen
